ISO_Code,Country,Region,Sub-region,Least developed countries (LDC),Africa sub-regions,Africa region,Total,Male,Female,Urban,Rural,Poorest,Second,Middle,Fourth,Richest,Source,,,,,,
KAZ,Kazakhstan,ECA,EECA,,,,100,100,100,100,100,100,100,100,100,100, MICS 2015  ,690428,651329,773804.6795,567952.3205,57.671,42.329
KEN,Kenya,SSA,ESA,,Eastern Africa,All,79,77,82,87,76,58,75,84,90,94, DHS 2014 ,4081391,4012219,2265806.12,5827803.881,27.995,72.005
KIR,Kiribati,EAP,,LDC,,,,,,,,,,,,,,8657,8441,9505.46212,7592.53788,55.594,44.406
KWT,Kuwait,MENA,,,,,,,,,,,,,,,,151460,141691,293151,0,100,0
KGZ,Kyrgyzstan,ECA,EECA,,,,99,99,99,99,99,98,100,100,99,100, MICS 2014 ,250093,239756,180538.7474,309310.2526,36.856,63.144
LAO,Lao People's Democratic Republic,,,,,,87,87,86,97,80,65,85,93,97,99, MICS 2017 ,388219,372390,276025.0061,484583.9939,36.29,63.71
LVA,Latvia,ECA,WE,,,,,,,,,,,,,,,62542,59737,83534.89885,38744.10115,68.315,31.685
LBN,Lebanon,MENA,,,,,,,,,,,,,,,,263724,265297,470431.9243,58589.07575,88.925,11.075
LSO,Lesotho,SSA,ESA,LDC,Southern Africa,All,71,60,83,87,65,43,58,73,81,88, DHS 2014 ,179004,177295,103426.4737,252872.5263,29.028,70.972
LBR,Liberia,SSA,WCA,LDC,Western Africa,All,34,36,33,44,15,10,12,23,39,57, DHS 2013 ,391966,375295,399658.5823,367602.4177,52.089,47.911
LBY,Libya,MENA,,,Northern Africa,All,,,,,,,,,,,,366310,349415,577525.6598,138199.3403,80.691,19.309
LIE,Liechtenstein,ECA,WE,,,,,,,,,,,,,,,1008,907,276.0664,1638.9336,14.416,85.584
LTU,Lithuania,ECA,WE,,,,,,,,,,,,,,,56086,53547,74600.87118,35032.12882,68.046,31.954
LUX,Luxembourg,ECA,WE,,,,,,,,,,,,,,,19002,18202,34024.17412,3179.82588,91.453,8.547
MDG,Madagascar,SSA,ESA,LDC,Eastern Africa,All,,,,,,,,,,,,1718350,1691920,1314113.442,2096156.558,38.534,61.466
MWI,Malawi,SSA,ESA,LDC,Southern Africa,All,47,43,52,73,43,25,34,43,54,73, DHS 2015-16 ,1661946,1635400,574628.4874,2722717.513,17.427,82.573
MYS,Malaysia,EAP,,,,,,,,,,,,,,,,1540436,1456982,2312807.729,684610.2712,77.16,22.84
MDV,Maldives,SA,,,,,,,,,,,,,,,,23680,22522,18789.89138,27412.10862,40.669,59.331
MLI,Mali,SSA,WCA,LDC,Western Africa,All,45,50,41,75,36,16,25,38,55,79, MICS 2015 ,1666818,1613492,1440351.318,1839958.682,43.909,56.091
MLT,Malta,ECA,WE,,,,,,,,,,,,,,,12940,11717,23361.02808,1295.97192,94.744,5.256
MHL,Marshall Islands,EAP,,,,,,,,,,,,,,,,4552,4287,6876.21166,1962.78834,77.794,22.206
MRT,Mauritania,,,,Northern Africa,All,60,64,56,69,51,47,48,57,65,82, MICS 2015 ,342573,332220,373342.7231,301450.2769,55.327,44.673
MUS,Mauritius,SSA,ESA,,Eastern Africa,All,,,,,,,,,,,,45137,43455,36110.0992,52481.9008,40.76,59.24
MEX,Mexico,LAC,,,,,96,97,96,96,96,91,95,98,99,100, MICS 2015 ,6978418,6684729,11030395.2,2632751.795,80.731,19.269
FSM,Micronesia (Federated States of),EAP,,,,,,,,,,,,,,,,7102,6601,9484.773881,4218.226119,69.21676918,30.78323082
MCO,Monaco,ECA,WE,,,,,,,,,,,,,,,,,,,100,0
MNG,Mongolia,EAP,,,,,97,96,99,98,96,93,97,100,99,99, MICS 2013-14 ,148959,145594,202231.2532,92321.74679,68.657,31.343
MNE,Montenegro,ECA,EECA,,,,100,100,100,100,100,100,100,100,100,100, MICS 2013 ,20405,18847,26490.38976,12761.61024,67.488,32.512
MSR,Montserrat,LAC,,,,,,,,,,,,,,,,226,250,43.3874,432.6126,9.115,90.885
MAR,Morocco,MENA,,,Northern Africa,All,,,,,,,,,,,,1946222,1852108,2413155.016,1385174.984,63.532,36.468
MOZ,Mozambique,SSA,ESA,LDC,Southern Africa,All,40,43,37,64,25,11,15,29,46,76, DHS 2011 ,3008136,2985770,2222180.71,3771725.29,37.074,62.926
MMR,Myanmar,EAP,,LDC,,,81,78,84,89,79,62,80,87,90,92, DHS 2015-16 ,2357843,2328067,1459239.233,3226670.767,31.141,68.859
NAM,Namibia,SSA,ESA,,Southern Africa,All,81,75,86,89,74,66,69,82,89,97, DHS 2013 ,204507,203545,212321.6972,195730.3028,52.033,47.967
NRU,Nauru,EAP,,,,,,,,,,,,,,,,994,865,1859,0,100,0
NPL,Nepal,SA,,LDC,,,78,79,76,83,70,75,74,72,78,91, DHS 2016 ,1536886,1471201,618943.9811,2389143.019,20.576,79.424
NLD,Netherlands,ECA,WE,,,,,,,,,,,,,,,573529,543009,1029849.99,86688.01032,92.236,7.764
NZL,New Zealand,EAP,,,,,,,,,,,,,,,,197447,186326,332727.3533,51045.64673,86.699,13.301
NIC,Nicaragua,LAC,,,,,,,,,,,,,,,,375536,354347,430718.556,299164.444,59.012,40.988
NER,Niger,SSA,WCA,LDC,Western Africa,All,29,35,24,61,19,8,20,17,25,58, DHS 2012 ,1954732,1878461,637306.6682,3195886.332,16.626,83.374
NGA,Nigeria,SSA,WCA,,Western Africa,All,80,81,79,93,73,55,72,84,93,97, MICS 2016 ,16287236,15599006,16567453.62,15318788.38,51.958,48.042
NIU,Niue,EAP,,,,,,,,,,,,,,,,69,66,62.3727,72.6273,46.202,53.798
NOR,Norway,ECA,WE,,,,,,,,,,,,,,,229206,217724,370835.6982,76094.3018,82.974,17.026
OMN,Oman,MENA,,,,,,,,,,,,,,,,195178,185677,328586.4598,52268.5402,86.276,13.724
PAK,Pakistan,,,,,,60,64,55,75,52,28,48,64,78,92, DHS 2017-18 ,11971975,11154193,8594840.337,14531327.66,37.165,62.835
PLW,Palau,EAP,,,,,,,,,,,,,,,,729,705,1161.36792,272.63208,80.988,19.012
PAN,Panama,LAC,,,,,95,95,96,99,88,81,98,99,99,100, MICS 2013 ,228749,219447,306628.8114,141567.1886,68.414,31.586
PNG,Papua New Guinea,EAP,,,,,,,,,,,,,,,,603111,565458,155945.5331,1012623.467,13.345,86.655
PRY,Paraguay,LAC,,,,,92,89,95,94,89,81,92,94,96,100, MICS 2016 ,409385,394151,499662.7909,303873.2091,62.183,37.817
PER,Peru,LAC,,,,,95,95,95,96,92,88,95,96,97,99, DHS 2012 ,1788045,1719342,2746178.799,761208.2006,78.297,21.703
PHL,Philippines,,,,,,92,89,95,93,91,78,92,94,97,98, DHS 2017 ,6704229,6410030,6217207.907,6897051.093,47.408,52.592
POL,Poland,ECA,WE,,,,,,,,,,,,,,,1218492,1155962,1425693.415,948760.5848,60.043,39.957
PRT,Portugal,ECA,WE,,,,,,,,,,,,,,,298281,286404,387704.6235,196980.3765,66.31,33.69
QAT,Qatar,MENA,,,,,,,,,,,,,,,,75079,71508,145465.6095,1121.39055,99.235,0.765
KOR,Republic of Korea,EAP,,,,,,,,,,,,,,,,1414457,1325104,2230386.193,509174.8075,81.414,18.586
MDA,Republic of Moldova,ECA,EECA,,,,99,99,100,99,99,97,99,99,100,100, MICS 2012 ,78905,73790,65428.28055,87266.71945,42.849,57.151
ROU,Romania,ECA,EECA,,,,,,,,,,,,,,,534221,505946,563708.104,476458.896,54.194,45.806
RUS,Russian Federation,ECA,EECA,,,,,,,,,,,,,,,3297066,3146292,4816667.839,1626690.161,74.754,25.246
RWA,Rwanda,SSA,ESA,LDC,Eastern Africa,All,54,48,61,68,51,33,47,55,60,67, DHS 2014-15 ,969174,973961,338727.2932,1604407.707,17.432,82.568
KNA,Saint Kitts and Nevis,LAC,,,,,,,,,,,,,,,,,,,,30.843,69.157
LCA,Saint Lucia,LAC,,,,,99,99,99,100,99,98,98,100,100,100, MICS 2012 ,,,,,18.841,81.159
VCT,Saint Vincent and the Grenadines,LAC,,,,,,,,,,,,,,,,6336,6206,6651.27344,5890.72656,53.032,46.968
WSM,Samoa,EAP,,,,,,,,,,,,,,,,15593,14416,5368.31001,24640.68999,17.889,82.111
SMR,San Marino,ECA,WE,,,,,,,,,,,,,,,904,856,1715.9824,44.0176,97.499,2.501
STP,Sao Tome and Principe,SSA,WCA,LDC,Central Africa,All,83,79,86,85,77,72,71,79,89,95, MICS 2014 ,17236,17000,25455.83544,8780.16456,74.354,25.646
SAU,Saudi Arabia,MENA,,,,,,,,,,,,,,,,1657674,1605879,2750750.917,512802.0829,84.287,15.713
SEN,Senegal,,,,Western Africa,All,49,48,51,65,37,27,40,49,55,75, DHS 2017 ,1321807,1290452,1257071.276,1355187.724,48.122,51.878
SRB,Serbia,ECA,EECA,,,,99,99,100,100,99,96,100,100,100,100, MICS 2014 ,138216,129897,151339.064,116773.936,56.446,43.554
SYC,Seychelles,SSA,ESA,,Eastern Africa,All,,,,,,,,,,,,4308,4217,4905.7965,3619.2035,57.546,42.454
SLE,Sierra Leone,,,,Western Africa,All,64,63,65,83,45,33,40,62,82,87, MICS 2017 ,623717,626214,536507.8831,713423.1169,42.923,57.077
SGP,Singapore,EAP,,,,,,,,,,,,,,,,119951,115174,235125,0,100,0
SVK,Slovakia,ECA,WE,,,,,,,,,,,,,,,118004,112516,123927.552,106592.448,53.76,46.24
SVN,Slovenia,ECA,WE,,,,,,,,,,,,,,,65373,61731,70057.18272,57046.81728,55.118,44.882
SLB,Solomon Islands,EAP,,LDC,,,,,,,,,,,,,,49486,46402,23655.5696,72232.4304,24.67,75.33
SOM,Somalia,SSA,ESA,LDC,Eastern Africa,All,,,,,,,,,,,,1296259,1282119,1189689.393,1388688.607,46.141,53.859
ZAF,South Africa,,,,Southern Africa,All,96,95,98,97,95,91,97,97,99,99, DHS 2016 ,3793428,3736691,5071836.351,2458282.649,67.354,32.646
SSD,South Sudan,SSA,ESA,LDC,Eastern Africa,All,24,30,18,38,18,7,9,17,29,44, MICS 2010 ,1041379,1015122,415392.637,1641108.363,20.199,79.801
ESP,Spain,ECA,WE,,,,,,,,,,,,,,,1507023,1421953,2366905.506,562070.4944,80.81,19.19
LKA,Sri Lanka,SA,,,,,,,,,,,,,,,,849484,832737,314794.0157,1367426.984,18.713,81.287
PSE,State of Palestine,MENA,,,,,99,99,100,99,99,99,99,99,100,99, MICS 2014 ,261960,250946,393496.3541,119409.6459,76.719,23.281
SDN,Sudan,SSA,ESA,LDC,Eastern Africa,All,72,71,73,88,64,49,59,65,86,97, MICS 2014 ,3267898,3166180,2268205.517,4165872.483,35.253,64.747
SUR,Suriname,LAC,,,,,79,76,82,86,65,47,75,87,92,95, MICS 2010 ,30680,28604,39215.77316,20068.22684,66.149,33.851
SWZ,Eswatini,SSA,ESA,,Southern Africa,All,60,52,68,79,55,41,51,61,72,84, MICS 2014 ,117848,116959,56755.19997,178051.8,24.171,75.829
SWE,Sweden,ECA,WE,,,,,,,,,,,,,,,356958,337623,611071.5264,83509.47363,87.977,12.023
CHE,Switzerland,ECA,WE,,,,,,,,,,,,,,,250689,238145,361321.6511,127512.3489,73.915,26.085
SYR,Syrian Arab Republic,MENA,,,,,,,,,,,,,,,,1457487,1385705,1577260.762,1265931.238,55.475,44.525
TJK,Tajikistan,,,,,,98,99,98,97,99,98,99,99,100,96, DHS 2017 ,416258,394173,222917.1509,587513.8491,27.506,72.494
THA,Thailand,,,,,,98,98,98,97,98,99,95,99,100,98, MICS 2015-16 ,2527616,2385795,2526967.277,2386443.723,51.43,48.57
MKD,North Macedonia,ECA,EECA,,,,100,100,99,100,99,98,100,100,100,100, MICS 2011 ,57326,54518,65408.60808,46435.39192,58.482,41.518
TLS,Timor-Leste,,,,,,81,77,85,92,76,60,71,78,90,96, DHS 2016 ,113002,108541,69387.2676,152155.7324,31.32,68.68
TGO,Togo,SSA,WCA,LDC,Western Africa,All,63,66,59,78,53,42,47,69,73,84, DHS 2013-14 ,634616,631135,541741.428,724009.572,42.8,57.2
TKL,Tokelau,EAP,,,,,,,,,,,,,,,,85,77,0,162,0,100
TON,Tonga,EAP,,,,,,,,,,,,,,,,8113,7652,3641.55735,12123.44265,23.099,76.901
TTO,Trinidad and Tobago,LAC,,,,,,,,,,,,,,,,68571,66712,71989.49562,63293.50438,53.214,46.786
TUN,Tunisia,,,,Northern Africa,All,95,94,97,97,91,88,94,98,97,99, MICS 2018 ,534027,510731,726817.2454,317940.7546,69.568,30.432
TUR,Turkey,ECA,EECA,,,,99,99,98,99,97,96,98,99,100,100, DHS style 2013 ,2737543,2623232,4079817.814,1280957.186,76.105,23.895
TKM,Turkmenistan,ECA,EECA,,,,100,100,100,100,100,100,100,99,100,100, MICS 2015-16 ,225411,219594,233698.8258,211306.1742,52.516,47.484
TCA,Turks and Caicos Islands,LAC,,,,,,,,,,,,,,,,,,,,93.605,6.395
TUV,Tuvalu,EAP,,LDC,,,,,,,,,,,,,,646,591,791.85318,445.14682,64.014,35.986
